,secuencia,K-means-2,K-means-3,K-means-4,K-means-5,K-means-6,K-means-7,K-means-8,K-means-9,K-means-10,K-means-11,K-means-12,K-means-13,K-means-14,K-means-15,K-means-16,K-means-17,K-means-18,K-means-19,K-means-20,K-means-21,K-means-22,K-means-23,K-means-24,K-means-25,K-means-26,K-means-27,K-means-28,K-means-29
40,sequence_32133,0,0,3,4,2,3,0,1,2,2,5,9,2,8,3,8,2,2,9,2,12,3,0,2,18,5,2,14
41,sequence_32131,0,0,3,4,2,3,0,1,2,2,5,9,2,8,3,8,2,15,9,2,17,3,14,2,18,0,27,25
42,sequence_32174,0,0,3,4,2,3,0,1,2,2,5,9,2,8,3,8,2,2,9,2,12,3,0,2,18,5,2,14
43,sequence_32114,0,0,3,4,2,3,0,1,2,2,5,9,2,8,3,8,2,2,9,2,12,3,0,2,18,5,2,5
44,sequence_32147,0,0,3,4,2,3,0,1,2,2,5,9,2,8,3,8,2,2,9,2,12,3,0,2,18,5,2,14
45,sequence_32119,0,0,3,4,2,3,0,1,2,2,5,9,2,8,3,8,2,2,9,2,12,3,0,2,18,5,2,14
46,sequence_32122,0,0,3,4,2,3,0,1,2,2,5,9,2,8,3,8,2,2,9,2,12,3,0,2,18,5,2,14
47,sequence_32125,0,0,3,4,2,3,0,1,2,2,5,1,2,8,3,8,2,2,9,2,12,14,0,2,25,24,2,14
48,sequence_32128,0,0,3,4,2,3,0,1,2,2,5,9,2,8,3,8,2,2,9,2,12,3,0,2,18,5,2,14
49,sequence_32129,0,0,3,4,2,3,0,1,2,2,5,9,2,8,3,8,2,2,9,2,12,3,0,2,18,5,2,14
50,sequence_32132,0,0,3,4,2,3,0,1,2,2,5,9,2,8,3,8,2,15,9,2,17,3,14,2,18,0,27,25
51,sequence_32167,0,0,0,2,3,0,4,4,8,5,4,4,6,10,9,5,8,16,12,9,5,9,9,17,23,9,8,10
52,sequence_50970,0,1,1,3,1,1,3,3,7,3,9,8,8,4,0,1,5,9,7,18,6,5,7,22,11,22,25,12
53,sequence_51045,0,1,1,3,1,1,3,3,7,3,9,8,8,4,0,1,5,9,7,18,6,5,7,3,11,22,25,12
54,sequence_51003,0,1,1,3,1,1,3,3,7,3,9,8,8,4,0,1,5,9,7,18,6,5,7,22,11,22,25,12
55,sequence_51032,0,1,1,3,1,1,3,3,7,3,9,8,8,4,0,1,5,9,7,18,6,5,7,22,11,10,25,12
56,sequence_51028,0,1,1,3,1,1,3,3,7,3,9,8,8,4,0,1,5,9,7,5,6,5,1,22,1,22,25,4
57,sequence_51025,0,1,1,3,1,1,3,3,7,3,9,8,8,4,0,1,5,9,7,18,6,5,7,15,11,22,25,12
58,sequence_51019,0,1,1,3,1,1,3,3,7,3,9,8,8,4,0,1,5,9,7,18,1,5,7,22,17,22,25,12
59,sequence_51017,0,1,1,3,1,1,3,3,7,3,9,8,8,4,0,1,3,9,7,18,6,15,7,22,11,22,25,12
60,sequence_51014,0,1,1,3,1,1,3,8,7,3,6,8,5,4,0,12,7,17,3,11,4,10,8,13,8,13,25,11
61,sequence_50984,0,1,1,3,1,1,3,3,7,3,9,8,8,4,0,1,5,9,7,18,6,5,7,22,11,22,25,12
62,sequence_51054,0,1,1,3,1,1,3,3,7,3,9,8,8,4,0,1,5,9,0,18,6,5,7,3,11,22,25,12
63,sequence_51002,0,1,1,3,1,1,3,3,7,3,9,8,8,4,0,1,5,9,7,18,6,5,7,22,11,22,25,12
64,sequence_51033,0,1,1,3,1,1,3,3,7,3,9,8,8,4,0,1,5,9,7,18,6,5,7,22,11,10,25,12
65,sequence_51027,0,1,1,3,1,1,3,3,7,3,9,8,8,4,0,1,5,9,7,5,6,5,1,22,1,22,25,4
66,sequence_51023,0,1,1,3,1,1,3,3,7,3,9,8,8,4,0,1,5,9,7,18,6,5,7,15,11,22,25,12
67,sequence_51012,0,1,1,3,1,1,3,3,7,3,9,8,8,4,0,1,5,9,7,18,1,5,7,22,17,22,25,12
68,sequence_51018,0,1,1,3,1,1,3,3,7,3,9,8,8,4,0,1,3,9,7,18,6,15,7,22,11,22,25,12
69,sequence_51015,0,1,1,3,1,1,3,3,7,3,9,8,8,4,0,1,5,9,7,18,6,5,7,15,11,22,25,12
