,secuencia,birch-2,birch-3,birch-4,birch-5,birch-6,birch-7,birch-8,birch-9,birch-10,birch-11,birch-12,birch-13,birch-14,birch-15,birch-16,birch-17,birch-18,birch-19,birch-20,birch-21,birch-22,birch-23,birch-24,birch-25,birch-26,birch-27,birch-28,birch-29
80,sequence_32182,0,0,2,2,2,2,2,0,6,6,2,2,2,2,2,2,2,2,0,9,9,9,9,9,4,1,0,28
81,sequence_50987,0,2,0,1,0,6,6,2,0,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,1,0,7,7
82,sequence_51052,0,2,0,1,0,6,6,2,0,5,5,5,5,5,5,5,5,5,2,2,2,0,17,17,17,17,17,17
83,sequence_50988,0,2,0,1,0,1,0,8,8,8,8,8,3,3,1,0,10,10,10,10,10,10,10,10,10,10,10,4
84,sequence_32158,0,0,2,2,2,2,2,0,6,6,2,2,2,2,2,2,2,2,0,9,9,9,9,9,4,1,0,21
85,sequence_32180,0,0,2,2,2,2,2,0,6,6,2,2,2,2,2,2,2,2,0,9,9,9,9,9,4,1,0,21
86,sequence_51046,0,2,0,1,0,6,6,2,0,5,5,5,5,5,5,5,5,5,2,2,2,0,17,17,17,17,17,17
87,sequence_32181,0,0,2,2,2,2,2,0,6,6,2,2,2,2,2,2,2,2,0,9,9,9,9,9,4,1,0,21
88,sequence_32163,0,0,2,2,2,2,2,0,6,6,2,2,2,2,2,2,2,2,0,3,1,1,0,2,2,2,2,2
89,sequence_50980,0,2,0,1,0,6,6,2,0,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,1,0,7,7
90,sequence_50969,0,2,0,1,0,1,0,8,8,8,8,8,3,3,1,0,10,10,10,10,10,10,10,10,10,10,10,4
91,sequence_50996,0,2,0,1,0,6,6,2,0,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,1,0,7,7
92,sequence_50989,0,2,0,1,0,1,0,6,2,0,6,6,13,13,13,13,13,13,13,13,13,6,6,6,6,6,6,6
93,sequence_32150,0,0,3,3,3,3,3,3,3,3,3,3,1,0,7,7,7,3,3,1,0,13,13,13,13,13,13,13
94,sequence_51053,0,2,0,1,0,6,6,2,0,5,5,5,5,5,5,5,5,5,2,2,2,0,17,17,17,17,17,17
95,sequence_50966,0,2,0,4,4,4,4,4,4,4,4,4,4,1,0,16,16,16,16,16,16,16,16,16,16,16,16,16
96,sequence_32116,0,0,3,3,3,3,3,3,3,3,3,3,1,0,7,7,7,3,3,1,0,13,13,13,13,13,13,13
97,sequence_32159,0,0,2,2,2,2,2,0,6,6,2,2,2,2,2,2,2,2,0,9,9,9,9,9,4,1,0,28
98,sequence_32149,0,0,2,2,2,2,2,0,6,6,2,2,2,2,2,2,2,2,0,3,1,1,0,11,11,11,11,11
99,sequence_51133,1,1,1,0,1,0,7,7,7,7,7,7,7,7,3,1,0,7,7,7,7,7,7,7,7,7,3,3
100,sequence_51189,1,1,1,0,1,0,1,1,1,1,1,0,8,8,8,3,3,1,1,0,8,8,3,3,3,3,1,0
101,sequence_51167,1,1,1,0,5,5,5,5,5,2,0,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
102,sequence_51130,1,1,1,0,5,5,5,5,5,2,0,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
103,sequence_51186,1,1,1,0,5,5,5,5,5,2,0,1,0,4,4,4,1,0,19,19,19,19,19,19,19,19,19,19
104,sequence_51178,1,1,1,0,5,5,5,5,5,2,0,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
