,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
590,sequence_32130,-5.7157882520247325,sequence_32159,-6.970724932862983,730.3778,1-0-0-0-68-2
20,sequence_51016,-4.626935645431157,sequence_51131,-7.774340977997347,730.3778,1-2-2-2-80-3
267,sequence_51170,-5.599110392902725,sequence_51131,-7.774340977997347,591.8984,1-2-2-2-80-3
514,sequence_32130,-5.7157882520247325,sequence_51131,-7.774340977997347,714.7492,1-2-2-2-80-3
76,sequence_51016,-4.626935645431157,sequence_50979,-6.9793484717108525,591.8984,1-1-1-1-174-8
323,sequence_51170,-5.599110392902725,sequence_50979,-6.9793484717108525,730.3778,1-1-1-1-174-8
570,sequence_32130,-5.7157882520247325,sequence_50979,-6.9793484717108525,730.3778,1-1-1-1-174-8
97,sequence_51016,-4.626935645431157,sequence_32149,-7.516758509933092,730.3778,1-0-0-0-65-7
344,sequence_51170,-5.599110392902725,sequence_32149,-7.516758509933092,730.3778,1-0-0-0-65-7
591,sequence_32130,-5.7157882520247325,sequence_32149,-7.516758509933092,531.2887000000001,1-0-0-0-65-7
176,sequence_51016,-4.626935645431157,sequence_50998,-5.944204158002268,591.8984,0-1-1-1-242-5
423,sequence_51170,-5.599110392902725,sequence_50998,-5.944204158002268,730.3778,0-1-1-1-242-5
670,sequence_32130,-5.7157882520247325,sequence_50998,-5.944204158002268,730.3778,0-1-1-1-242-5
228,sequence_51016,-4.626935645431157,sequence_32173,-7.412850678006673,730.3778,1-0-0-0-46-2
475,sequence_51170,-5.599110392902725,sequence_32173,-7.412850678006673,712.8841,1-0-0-0-46-2
722,sequence_32130,-5.7157882520247325,sequence_32173,-7.412850678006673,531.2887000000001,1-0-0-0-46-2
142,sequence_51016,-4.626935645431157,sequence_32176,-7.495966273349671,730.3778,0-0-0-0-40-2
389,sequence_51170,-5.599110392902725,sequence_32176,-7.495966273349671,712.8841,0-0-0-0-40-2
636,sequence_32130,-5.7157882520247325,sequence_32176,-7.495966273349671,507.1875,0-0-0-0-40-2
53,sequence_51016,-4.626935645431157,sequence_51003,-4.688170977244142,730.3778,0-1-1-1-190-0
300,sequence_51170,-5.599110392902725,sequence_51003,-4.688170977244142,730.3778,0-1-1-1-190-0
547,sequence_32130,-5.7157882520247325,sequence_51003,-4.688170977244142,730.3778,0-1-1-1-190-0
238,sequence_51016,-4.626935645431157,sequence_51153,-7.196744445638808,730.3778,1-2-2-2-149-1
485,sequence_51170,-5.599110392902725,sequence_51153,-7.196744445638808,591.8984,1-2-2-2-149-1
732,sequence_32130,-5.7157882520247325,sequence_51153,-7.196744445638808,712.8841,1-2-2-2-149-1
