id,label,target,labels,profile
sequence_47710,3,43.0,0-0-0-0,3-0-0-0-0
sequence_47673,3,65.5,0-0-0-15,3-0-0-0-15
sequence_47717,2,66.0,0-0-0-8,2-0-0-0-8
sequence_47715,0,101.0,0-0-0-17,0-0-0-0-17
sequence_47792,3,12.0,0-0-0-18,3-0-0-0-18
sequence_47696,1,47.0,0-0-0-0,1-0-0-0-0
sequence_47706,0,77.0,1-0-0-13,0-1-0-0-13
sequence_47766,1,4.19,0-0-0-18,1-0-0-0-18
sequence_47705,0,71.0,0-0-0-10,0-0-0-0-10
sequence_47701,0,63.0,1-0-0-12,0-1-0-0-12
sequence_47682,3,53.0,0-0-0-15,3-0-0-0-15
sequence_47800,3,20.0,0-0-0-3,3-0-0-0-3
sequence_47781,1,12.0,0-0-0-3,1-0-0-0-3
sequence_47695,1,52.0,0-0-0-0,1-0-0-0-0
sequence_47776,3,9.0,1-1-1-13,3-1-1-1-13
sequence_47686,1,22.0,0-0-0-0,1-0-0-0-0
