,secuencia,birch-2,birch-3,birch-4,birch-5,birch-6,birch-7,birch-8,birch-9,birch-10,birch-11,birch-12,birch-13,birch-14,birch-15,birch-16,birch-17,birch-18,birch-19,birch-20,birch-21,birch-22,birch-23,birch-24,birch-25,birch-26,birch-27,birch-28,birch-29
63,sequence_40821,0,0,0,1,1,0,1,0,2,0,0,0,0,1,0,0,0,2,0,1,0,1,1,0,2,2,0,6
64,sequence_40822,0,0,0,1,1,0,1,0,2,0,0,0,0,1,0,16,16,16,16,16,16,16,16,16,16,16,16,16
65,sequence_40823,0,0,0,1,1,0,1,0,2,0,0,12,12,12,12,12,12,12,12,12,12,12,12,12,25,25,12,12
66,sequence_40834,0,0,0,1,1,0,1,0,2,0,0,12,12,12,12,12,12,12,12,12,12,12,12,12,25,25,12,12
67,sequence_40832,0,0,0,1,1,0,1,0,2,0,0,0,0,1,0,0,0,2,0,1,0,1,1,0,2,2,0,6
68,sequence_40833,0,0,0,1,1,0,1,0,9,9,9,9,9,9,9,9,9,9,19,19,19,19,19,19,19,19,19,19
69,sequence_40830,1,1,1,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,5,5,2,0
70,sequence_40798,0,2,2,2,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2
71,sequence_40865,0,2,2,2,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2
72,sequence_40863,0,2,2,2,0,4,4,1,1,1,1,1,1,0,4,4,4,4,4,4,4,4,4,4,4,1,1,1
73,sequence_40801,0,2,2,2,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2
74,sequence_40802,0,2,2,2,0,4,4,1,1,1,1,1,1,0,4,4,4,4,4,4,4,4,4,4,4,1,1,1
75,sequence_40796,0,2,2,2,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2
76,sequence_40795,0,2,2,2,0,4,4,1,1,1,1,1,1,0,4,4,4,4,4,4,4,4,4,4,4,1,1,1
77,sequence_40866,0,2,2,2,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2
78,sequence_40799,0,0,0,4,4,1,0,4,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,4,4
79,sequence_40788,0,2,2,2,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2
80,sequence_40867,0,0,0,4,4,1,0,4,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,4,4
