,secuencia,affinity-0.5,affinity-0.55,affinity-0.6000000000000001,affinity-0.6500000000000001,affinity-0.7000000000000002,affinity-0.7500000000000002,affinity-0.8000000000000003,affinity-0.8500000000000003,affinity-0.9000000000000004,affinity-0.9500000000000004
92,sequence_19431,15,15,14,15,14,15,14,15,15,14
93,sequence_20058,14,14,13,14,13,14,13,14,14,13
94,sequence_19488,20,20,20,21,20,21,20,21,21,20
95,sequence_19375,9,9,9,10,9,10,9,10,10,9
96,sequence_19511,27,27,27,27,27,27,27,28,28,28
97,sequence_53065,22,22,22,22,22,22,22,22,22,22
98,sequence_53074,2,2,2,2,2,2,2,2,2,2
99,sequence_20050,18,18,18,19,18,19,18,19,19,18
100,sequence_19515,3,3,15,16,15,16,15,16,16,15
101,sequence_20057,14,14,13,14,13,14,13,14,14,13
102,sequence_19438,29,29,29,29,29,29,29,30,30,30
103,sequence_19486,6,6,6,7,6,7,6,7,7,6
104,sequence_19389,11,11,10,11,10,11,10,11,11,10
105,sequence_19468,12,12,15,16,15,16,15,16,16,15
106,sequence_20068,10,10,11,12,11,12,11,12,12,11
107,sequence_19420,9,9,9,10,9,10,9,10,10,9
108,sequence_20076,10,10,11,12,11,12,11,12,12,11
109,sequence_20070,7,7,7,8,7,8,7,8,8,7
110,sequence_19399,13,13,12,13,12,13,12,13,13,12
111,sequence_19436,15,15,14,15,14,15,14,15,15,14
112,sequence_19492,30,30,30,30,30,30,30,31,31,31
113,sequence_19445,5,5,5,6,5,6,5,6,6,5
114,sequence_19403,27,27,27,27,27,27,27,28,28,28
115,sequence_19428,23,23,23,23,23,23,23,23,23,23
116,sequence_19377,13,13,12,13,12,13,12,13,13,12
117,sequence_19427,1,1,1,1,1,1,1,1,1,1
118,sequence_19521,25,25,25,25,25,25,25,25,25,25
119,sequence_20045,14,14,13,14,13,14,13,14,14,13
120,sequence_19412,3,3,3,4,3,4,3,4,4,3
121,sequence_19508,16,16,16,17,16,17,16,17,17,16
122,sequence_53080,2,2,2,2,2,2,2,2,2,2
123,sequence_20073,14,14,13,14,13,14,13,14,14,13
124,sequence_19442,8,8,8,9,8,9,8,9,9,8
125,sequence_53077,19,19,19,20,19,20,19,20,20,19
126,sequence_19429,5,5,5,6,5,6,5,6,6,5
127,sequence_19416,3,3,3,4,3,4,3,4,4,3
128,sequence_20055,4,4,4,5,4,5,4,5,5,4
129,sequence_19388,3,3,3,4,3,4,3,4,4,3
130,sequence_20049,7,7,7,8,7,8,7,8,8,7
131,sequence_20059,17,17,17,18,17,18,17,18,18,17
132,sequence_19467,29,29,29,29,29,29,29,30,30,30
133,sequence_19373,8,8,8,9,8,9,8,9,9,8
134,sequence_19396,9,9,9,10,9,10,9,10,10,9
135,sequence_19527,1,1,1,1,1,1,1,1,1,1
136,sequence_19435,15,15,14,15,14,15,14,15,15,14
137,sequence_53069,2,2,2,2,2,2,2,2,2,2
138,sequence_19418,11,11,16,17,16,17,16,17,17,16
139,sequence_20075,7,7,7,8,7,8,7,8,8,7
140,sequence_19423,29,29,29,29,29,29,29,30,30,30
141,sequence_19516,29,29,29,29,29,29,29,30,30,30
142,sequence_19512,27,27,27,27,27,27,27,28,28,28
143,sequence_19387,9,9,9,10,9,10,9,10,10,9
144,sequence_53061,19,19,19,20,19,20,19,20,20,19
145,sequence_19448,12,12,10,11,10,11,10,11,11,10
146,sequence_19469,12,12,15,16,15,16,15,16,16,15
147,sequence_19449,26,26,26,26,26,26,26,26,26,26
148,sequence_53063,22,22,22,22,22,22,22,22,22,22
149,sequence_19457,6,6,6,7,6,7,6,7,7,6
150,sequence_19466,24,24,24,24,24,24,24,24,24,24
151,sequence_19494,30,30,30,30,30,30,30,31,31,31
152,sequence_19454,6,6,6,7,6,7,6,7,7,6
153,sequence_19529,16,16,16,17,16,17,16,17,17,16
154,sequence_19426,6,6,6,7,6,7,6,7,7,6
155,sequence_19491,1,1,1,1,1,1,1,1,1,1
156,sequence_19421,15,15,14,15,14,15,14,15,15,14
157,sequence_19514,12,12,10,11,10,11,10,11,11,10
158,sequence_19368,9,9,9,10,9,10,9,10,10,9
159,sequence_19437,9,9,9,10,9,10,9,10,10,9
160,sequence_20044,17,17,17,18,17,18,17,18,18,17
161,sequence_19501,23,23,23,23,23,23,23,23,23,23
162,sequence_20074,14,14,13,14,13,14,13,14,14,13
163,sequence_19395,20,20,20,21,20,21,20,21,21,20
164,sequence_19510,16,16,16,17,16,17,16,17,17,16
165,sequence_19489,9,9,9,10,9,10,9,10,10,9
166,sequence_19440,18,18,10,11,10,11,10,11,11,10
167,sequence_19408,18,18,18,19,18,19,18,19,19,18
168,sequence_53076,19,19,19,20,19,20,19,20,20,19
169,sequence_19372,20,20,20,21,20,21,20,21,21,20
170,sequence_19507,20,20,20,21,20,21,20,21,21,20
171,sequence_20066,10,10,11,12,11,12,11,12,12,11
172,sequence_19524,16,16,16,17,16,17,16,17,17,16
173,sequence_19414,23,23,23,23,23,23,23,23,23,23
174,sequence_19485,29,29,29,29,29,29,29,30,30,30
175,sequence_19384,3,3,3,4,3,4,3,4,4,3
176,sequence_19493,16,16,16,17,16,17,16,17,17,16
177,sequence_19484,27,27,27,27,27,27,27,28,28,28
178,sequence_53073,2,2,2,2,2,2,2,2,2,2
179,sequence_20034,21,21,21,3,21,3,21,3,3,21
180,sequence_19456,15,15,14,15,14,15,14,15,15,14
181,sequence_53067,22,22,22,22,22,22,22,22,22,22
182,sequence_19502,30,30,30,30,30,30,30,31,31,31
183,sequence_20053,10,10,11,12,11,12,11,12,12,11
184,sequence_19355,18,18,18,19,18,19,18,19,19,18
185,sequence_19365,23,23,23,23,23,23,23,23,23,23
186,sequence_20047,10,10,11,12,11,12,11,12,12,11
187,sequence_19528,16,16,16,17,16,17,16,17,17,16
188,sequence_19455,24,24,24,24,24,24,24,24,24,24
189,sequence_19479,1,1,1,1,1,1,1,1,1,1
190,sequence_19452,24,24,24,24,24,24,24,24,24,24
191,sequence_19407,23,23,23,23,23,23,23,23,23,23
192,sequence_19444,23,23,23,23,23,23,23,23,23,23
193,sequence_19499,20,20,20,21,20,21,20,21,21,20
194,sequence_19487,8,8,8,9,8,9,8,9,9,8
195,sequence_19398,11,11,16,17,16,17,16,17,17,16
196,sequence_19424,3,3,3,4,3,4,3,4,4,3
197,sequence_20037,17,17,17,18,17,18,17,18,18,17
198,sequence_53058,31,31,31,31,31,31,31,8,8,7
199,sequence_19458,25,25,25,25,25,25,25,25,25,25
200,sequence_19470,30,30,30,30,30,30,30,31,31,31
201,sequence_19364,26,26,26,26,26,26,26,26,26,26
202,sequence_19366,30,30,30,30,30,30,30,31,31,31
203,sequence_19361,23,23,23,23,23,23,23,23,23,23
204,sequence_19358,26,26,26,26,26,26,26,26,26,26
205,sequence_19360,26,26,26,26,26,26,26,26,26,26
206,sequence_19474,26,26,26,26,26,26,26,26,26,26
207,sequence_53060,2,2,2,2,2,2,2,2,2,2
208,sequence_19473,30,30,30,30,30,30,30,27,27,27
209,sequence_19459,27,27,27,27,27,27,27,28,28,28
210,sequence_19481,28,28,28,28,28,28,28,29,29,29
211,sequence_19465,29,29,29,29,29,29,29,30,30,30
212,sequence_19476,1,1,1,1,1,1,1,1,1,1
213,sequence_19480,30,30,30,30,30,30,30,31,31,31
214,sequence_19463,27,27,27,27,27,27,27,28,28,28
215,sequence_19464,31,31,31,31,31,31,31,27,27,27
216,sequence_19359,31,31,31,31,31,31,31,27,27,27
217,sequence_19350,27,27,27,27,27,27,27,28,28,28
218,sequence_19367,26,26,26,26,26,26,26,26,26,26
219,sequence_19471,29,29,29,29,29,29,29,30,30,30
220,sequence_19475,23,23,23,23,23,23,23,27,27,27
221,sequence_19353,29,29,29,29,29,29,29,30,30,30
222,sequence_19461,27,27,27,27,27,27,27,28,28,28
223,sequence_19483,28,28,28,28,28,28,28,29,29,29
224,sequence_19472,26,26,26,26,26,26,26,26,26,26
225,sequence_19462,25,25,25,25,25,25,25,25,25,25
226,sequence_19362,26,26,26,26,26,26,26,26,26,26
227,sequence_19349,25,25,25,25,25,25,25,25,25,25
228,sequence_19478,28,28,28,28,28,28,28,29,29,29
229,sequence_19351,27,27,27,27,27,27,27,28,28,28
230,sequence_19460,25,25,25,25,25,25,25,25,25,25
231,sequence_19352,31,31,31,31,31,31,31,27,27,27
232,sequence_19482,30,30,30,30,30,30,30,31,31,31
233,sequence_19518,26,26,26,26,26,26,26,26,26,26
234,sequence_19356,31,31,31,31,31,31,31,31,31,31
235,sequence_19503,28,28,28,28,28,28,28,29,29,29
236,sequence_19517,30,30,30,30,30,30,30,27,27,27
237,sequence_19520,28,28,28,28,28,28,28,29,29,29
238,sequence_19385,26,26,26,26,26,26,26,26,26,26
239,sequence_19411,26,26,26,26,26,26,26,26,26,26
240,sequence_19513,29,29,29,29,29,29,29,30,30,30
241,sequence_19413,26,26,26,26,26,26,26,26,26,26
242,sequence_53083,0,0,0,0,0,0,0,0,0,0
243,sequence_53088,32,32,32,32,32,32,32,32,32,32
244,sequence_19381,34,34,34,34,34,34,34,34,34,34
245,sequence_53081,0,0,0,0,0,0,0,0,0,0
246,sequence_53086,32,32,32,32,32,32,32,32,32,32
247,sequence_53087,0,0,0,0,0,0,0,0,0,0
248,sequence_19400,13,13,12,13,12,13,12,13,13,12
249,sequence_53068,32,32,32,32,32,32,32,32,32,32
250,sequence_53072,0,0,0,0,0,0,0,0,0,0
251,sequence_53098,32,32,32,32,32,32,32,32,32,32
252,sequence_53052,0,0,0,0,0,0,0,0,0,0
253,sequence_53084,0,0,0,0,0,0,0,0,0,0
254,sequence_53099,0,0,0,0,0,0,0,0,0,0
255,sequence_53056,33,33,33,33,33,33,33,33,33,33
256,sequence_19347,33,33,33,33,33,33,33,33,33,33
257,sequence_19379,33,33,33,33,33,33,33,33,33,33
258,sequence_19348,34,34,34,34,34,34,34,34,34,34
259,sequence_19380,34,34,34,34,34,34,34,34,34,34
260,sequence_19401,33,33,33,33,33,33,33,33,33,33
