id,label,target,labels,profile
sequence_47692,2,87.5,13-13-13-16,2-13-13-13-16
sequence_47681,0,44.0,18-19-19-10,0-18-19-19-10
sequence_47767,2,105.0,7-6-6-11,2-7-6-6-11
sequence_47718,2,81.0,13-13-13-16,2-13-13-13-16
sequence_47809,0,10.0,28-11-11-0,0-28-11-11-0
sequence_47763,2,122.0,24-20-20-11,2-24-20-20-11
sequence_47780,2,23.0,1-7-7-5,2-1-7-7-5
sequence_47807,2,42.0,8-9-9-5,2-8-9-9-5
sequence_47756,2,37.0,6-15-15-14,2-6-15-15-14
sequence_47744,0,69.0,26-5-5-4,0-26-5-5-4
sequence_47721,0,40.0,3-18-18-7,0-3-18-18-7
sequence_47771,1,18.0,4-0-0-17,1-4-0-0-17
sequence_47750,1,25.0,26-5-5-4,1-26-5-5-4
sequence_47787,0,5.0,28-11-11-0,0-28-11-11-0
sequence_47793,0,16.0,5-8-8-1,0-5-8-8-1
sequence_47746,0,94.0,17-10-10-14,0-17-10-10-14
sequence_47757,1,36.0,5-8-8-1,1-5-8-8-1
sequence_47802,2,4.0,2-12-12-15,2-2-12-12-15
sequence_47667,1,86.0,16-1-1-13,1-16-1-1-13
sequence_47675,0,57.0,21-22-22-6,0-21-22-22-6
sequence_47736,0,19.0,15-26-26-4,0-15-26-26-4
sequence_47684,1,23.0,23-4-4-2,1-23-4-4-2
sequence_47669,1,32.0,11-2-2-12,1-11-2-2-12
sequence_47672,0,76.0,18-25-25-10,0-18-25-25-10
sequence_47759,1,36.0,25-23-23-5,1-25-23-23-5
sequence_47712,2,49.0,22-3-3-9,2-22-3-3-9
sequence_47703,2,95.0,7-6-6-8,2-7-6-6-8
sequence_47753,0,74.0,17-10-10-14,0-17-10-10-14
sequence_47678,0,37.0,3-18-18-7,0-3-18-18-7
sequence_47680,0,73.0,23-4-4-2,0-23-4-4-2
sequence_47698,1,56.0,14-2-2-12,1-14-2-2-12
sequence_47711,1,57.0,8-23-23-5,1-8-23-23-5
sequence_47784,0,21.0,5-8-8-1,0-5-8-8-1
sequence_47685,0,24.0,18-19-19-10,0-18-19-19-10
sequence_47710,0,43.0,21-22-22-6,0-21-22-22-6
sequence_47673,0,65.5,21-22-22-6,0-21-22-22-6
sequence_47717,2,66.0,3-18-18-7,2-3-18-18-7
sequence_47715,2,101.0,3-18-18-7,2-3-18-18-7
sequence_47792,0,12.0,28-11-11-0,0-28-11-11-0
sequence_47696,1,47.0,2-19-19-12,1-2-19-19-12
sequence_47706,0,77.0,23-4-4-2,0-23-4-4-2
sequence_47766,3,4.19,19-11-11-0,3-19-11-11-0
sequence_47705,0,71.0,18-25-25-10,0-18-25-25-10
sequence_47701,1,63.0,9-4-4-2,1-9-4-4-2
sequence_47682,3,53.0,12-16-16-8,3-12-16-16-8
sequence_47800,2,20.0,22-3-3-9,2-22-3-3-9
sequence_47781,0,12.0,5-8-8-1,0-5-8-8-1
sequence_47695,1,52.0,21-22-22-6,1-21-22-22-6
sequence_47776,0,9.0,28-11-11-0,0-28-11-11-0
sequence_47686,2,22.0,12-16-16-8,2-12-16-16-8
