,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
254,sequence_51170,-5.599110392902725,sequence_51159,-5.319842748072733,12021.4843,0-0-1-1-1
258,sequence_51170,-5.599110392902725,sequence_51199,-6.996026362092827,18963.0369,0-0-1-1-1
373,sequence_51170,-5.599110392902725,sequence_51129,-8.402091964503104,67899.921,0-0-1-1-1
363,sequence_51170,-5.599110392902725,sequence_51180,-6.304185064160062,35622.7477,0-0-1-1-1
261,sequence_51170,-5.599110392902725,sequence_51157,-7.993079403043451,28455.686200000004,0-0-1-1-1
352,sequence_51170,-5.599110392902725,sequence_51165,-8.135108482126563,40985.227,0-0-1-1-1
347,sequence_51170,-5.599110392902725,sequence_51167,-6.709785800218548,23587.6474,0-0-1-1-1
360,sequence_51170,-5.599110392902725,sequence_51161,-8.29923749627917,24649.0705,0-0-1-1-1
359,sequence_51170,-5.599110392902725,sequence_51177,-6.222235866357328,15370.817900000002,0-0-1-1-1
351,sequence_51170,-5.599110392902725,sequence_51158,-6.222980712367778,49770.6763,0-0-1-1-1
354,sequence_51170,-5.599110392902725,sequence_51155,-5.6881928391837775,32366.746,0-0-1-1-1
366,sequence_51170,-5.599110392902725,sequence_51154,-7.492004982128037,64267.935300000005,0-0-1-1-1
277,sequence_51170,-5.599110392902725,sequence_51141,-6.2807344442384325,52057.0893,0-0-1-1-1
253,sequence_51170,-5.599110392902725,sequence_51181,-6.128408684508713,30450.9776,0-0-1-1-1
260,sequence_51170,-5.599110392902725,sequence_51183,-7.546017632580344,32853.18319999999,0-0-1-1-1
353,sequence_51170,-5.599110392902725,sequence_51176,-6.977819960699303,22061.3852,0-0-1-1-1
257,sequence_51170,-5.599110392902725,sequence_51169,-6.371702819572715,47401.0349,0-0-1-1-1
252,sequence_51170,-5.599110392902725,sequence_51149,-7.135845590862672,39213.8401,0-0-1-1-1
356,sequence_51170,-5.599110392902725,sequence_51172,-6.315267818049118,27991.4069,0-0-1-1-1
357,sequence_51170,-5.599110392902725,sequence_51195,-4.719117050535875,46176.4596,0-0-1-1-1
447,sequence_51170,-5.599110392902725,sequence_51193,-5.950238637114008,63086.1756,0-0-1-1-1
453,sequence_51170,-5.599110392902725,sequence_51150,-7.330164570040457,74383.46359999999,0-0-1-1-1
262,sequence_51170,-5.599110392902725,sequence_51163,-5.840652190889835,48640.73,0-0-1-1-1
350,sequence_51170,-5.599110392902725,sequence_51178,-5.206388367343241,9711.7858,0-0-1-1-1
348,sequence_51170,-5.599110392902725,sequence_51130,-5.73331703632774,35845.0407,0-0-1-1-1
265,sequence_51170,-5.599110392902725,sequence_51171,-5.988608431336485,21061.3692,0-0-1-1-1
273,sequence_51170,-5.599110392902725,sequence_51151,-7.50501562302166,53556.4766,0-0-1-1-1
464,sequence_51170,-5.599110392902725,sequence_51200,-4.040097249792159,56354.5074,0-0-1-1-1
251,sequence_51170,-5.599110392902725,sequence_51140,-6.732490772637745,30922.7764,0-0-1-1-1
358,sequence_51170,-5.599110392902725,sequence_51152,-6.5750272986407685,35048.022600000004,0-0-1-1-1
349,sequence_51170,-5.599110392902725,sequence_51186,-5.749568986531335,38635.7807,0-0-1-1-1
479,sequence_51170,-5.599110392902725,sequence_51201,-6.724658769791372,53229.5272,0-0-1-1-1
484,sequence_51170,-5.599110392902725,sequence_51139,-6.942655461209572,54113.486800000006,0-0-1-1-1
255,sequence_51170,-5.599110392902725,sequence_51175,-5.0920670419749925,41941.8275,0-0-1-1-1
362,sequence_51170,-5.599110392902725,sequence_51156,-6.2249740524313975,29778.686200000004,0-0-1-1-1
361,sequence_51170,-5.599110392902725,sequence_51166,-7.112515562930268,35695.1515,0-0-1-1-1
372,sequence_51170,-5.599110392902725,sequence_51184,-7.972632247347034,62773.8231,0-0-1-1-1
355,sequence_51170,-5.599110392902725,sequence_51162,-5.483585000857007,23305.9784,0-0-1-1-1
618,sequence_32130,-5.7157882520247325,sequence_51160,-7.359947635110199,101424.3099,0-0-1-1-1
506,sequence_32130,-5.7157882520247325,sequence_51144,-7.6062267387969245,108183.7618,0-0-1-1-1
503,sequence_32130,-5.7157882520247325,sequence_51174,-8.191804956045784,108886.5713,0-0-1-1-1
612,sequence_32130,-5.7157882520247325,sequence_51194,-5.951019832085327,113630.2757,0-0-1-1-1
732,sequence_32130,-5.7157882520247325,sequence_51153,-7.196744445638808,108152.3254,0-0-1-1-1
