,id,target,labels
212,sequence_19476,62.2,28
213,sequence_19480,62.8,29
214,sequence_19463,62.7,30
215,sequence_19464,62.2,29
216,sequence_19359,59.3,29
217,sequence_19350,60.1,30
218,sequence_19367,61.0,31
219,sequence_19471,60.0,31
220,sequence_19475,59.1,29
221,sequence_19353,64.3,28
222,sequence_19461,61.2,30
223,sequence_19483,60.6,31
224,sequence_19472,59.9,29
225,sequence_19462,63.2,27
226,sequence_19362,61.0,28
227,sequence_19349,58.9,27
228,sequence_19478,60.1,28
229,sequence_19351,60.9,30
230,sequence_19460,61.0,27
231,sequence_19352,58.5,32
232,sequence_19482,59.3,29
233,sequence_19518,61.6,28
234,sequence_19356,59.0,32
235,sequence_19503,60.0,31
236,sequence_19517,61.6,29
237,sequence_19520,58.7,31
238,sequence_19385,58.2,28
239,sequence_19411,58.0,28
240,sequence_19513,61.0,28
241,sequence_19413,58.7,31
242,sequence_53083,51.0,0
243,sequence_53088,48.0,33
244,sequence_19381,50.0,35
245,sequence_53081,53.0,0
246,sequence_53086,40.0,33
247,sequence_53087,52.0,0
248,sequence_19400,43.0,16
249,sequence_53068,36.0,33
250,sequence_53072,47.0,0
251,sequence_53098,42.0,33
252,sequence_53052,55.0,0
253,sequence_53084,39.0,0
254,sequence_53099,53.0,34
255,sequence_53056,52.0,34
256,sequence_19347,58.9,34
257,sequence_19379,50.3,34
258,sequence_19348,46.7,35
259,sequence_19380,48.1,35
260,sequence_19401,47.4,34
